IDpole	OccurDate	Payment	IDclaim	Guarantee
90145611.100a	37768	0	13063	Damage
90153013.100a	37641	63	7473	TPL
90112045.101c	38251	435	1202306	Windscreen
90182364.100a	37820	126	208690	TPL
90164838.101a	38189	897	207510	TPL
90144360.100b	38054	104	1206610	Windscreen
90130892.100a	38056	915	1206288	TPL
90150972.100a	37724	412	10874	TPL
70207520.102b	37832	495	202633	Windscreen
90182397.100a	38278	1306	202911	Theft
90139549.101a	37779	88	200323	Windscreen
90114542.101b	37768	834	12913	Damage
90146416.103a	37993	230	1209568	TPL
90111560.101b	37810	387	201360	Windscreen
90191915.100a	37683	337	9460	Windscreen
90134251.100a	38031	1715	1207322	TPL
90185861.100a	37710	897	10352	TPL
90157303.100a	38015	2144	1208325	Damage
90166338.100b	37756	897	13210	TPL
90158171.100b	37940	423	207385	TPL
90149781.101c	37899	26	205572	TPL
90103503.10a	37746	1860	12234	TPL
60200190.100a	38226	897	201868	TPL
90148209.100a	37749	2350	12406	TPL
90132822.100b	38042	63	1206800	Windscreen
90147735.100a	38003	292	1208926	Windscreen
90129065.101b	38016	333	1208241	Windscreen
90151485.100a	37831	354	202423	TPL
90170367.100a	37710	2766	10484	TPL
90105227.101a	38008	313	1209288	Windscreen
90184955.100a	37838	308	202615	Windscreen
90149189.100a	37807	319	201464	Damage
90134478.101a	38074	396	1205270	TPL
90179959.100a	37716	1121	10541	TPL
90125979.101a	37713	897	11569	TPL
20100221.100a	38178	354	205455	Windscreen
90100225.100a	38286	1313	209473	Theft
90191207.100a	38166	2671	1201121	Damage
90104693.100a	37694	162	9570	TPL
90182595.100a	37765	897	13166	TPL
90146580.100a	38157	455	1201853	TPL
90153268.100a	38285	94	9274	TPL
90149288.100a	37823	56	201925	TPL
90171000.100a	37622	496	6881	Damage
90191809.100b	38253	210	7954	Windscreen
90152942.100b	38197	334	9735	TPL
90176792.100a	37693	72	10026	TPL
90128818.101a	37833	0	202959	Damage
90132227.100a	37802	114	201022	Windscreen
90140099.100a	38270	1664	13161	Other
90116361.101b	38208	92	1202773	Windscreen
90134359.101a	37725	2552	10871	TPL
90151260.100a	37781	527	200306	TPL
90159678.100a	37712	265	11369	Windscreen
90151855.101a	38296	393	1204536	Damage
1003814.100a	38270	555	203338	Damage
90166980.100a	37690	102	9501	Windscreen
90187821.100a	38261	2298	206322	TPL
90126024.100b	38284	2144	1208421	Damage
90127774.101b	38245	1481	201827	Fire
90194775.100a	37927	475	206580	Damage
90109083.101a	37730	351	11179	Other
90132372.100b	38180	170	207328	Windscreen
90128574.101a	37650	284	8502	Windscreen
90181827.100a	38341	337	1205726	TPL
90180310.103a	37707	897	10829	TPL
90146578.100a	37640	7313	7494	TPL
90147668.100b	38166	205	1201422	Windscreen
90132870.100b	37921	701	206453	TPL
90130863.100c	37722	928	10806	TPL
90178107.100a	38048	448	1206686	TPL
90123575.101a	38175	56	1208218	Windscreen
90158171.100b	38033	432	1207385	TPL
90132476.100c	38225	3589	8862	TPL
90152120.100c	37630	1962	7552	TPL
90187296.100a	37921	242	206224	Windscreen
70207020.100a	38345	173	1207143	Windscreen
90112504.101b	37898	121	205181	Windscreen
90157521.100a	37714	53	11047	Windscreen
90174085.100b	38252	0	10001	TPL
90134908.100a	38287	587	8309	TPL
90145580.101a	37870	99	203888	TPL
90144627.100a	37672	687	9023	TPL
90171830.100a	37974	73	209435	Windscreen
90158219.100b	37934	289	208142	Windscreen
90159289.100b	37977	358	209186	TPL
90100757.10a	38027	2778	1207392	TPL
90129752.100a	38276	915	1201639	TPL
90182570.100a	37642	68	7667	TPL
90146961.100a	38184	897	209368	TPL
90181434.100a	37648	1352	8026	TPL
90154029.100a	38202	2433	10225	Damage
90184242.100a	37979	56	209379	TPL
90168449.100a	37923	764	206577	TPL
90105030.100b	38266	843	200981	TPL
90110838.100a	38060	524	1205870	TPL
90156119.100b	37780	281	200303	TPL
90145355.101a	38162	70	1201484	TPL
90141518.100a	38265	897	9771	TPL
90180487.100a	37924	229	206263	TPL
90133442.100b	37763	2452	13270	TPL
90194015.100a	37630	12572	7326	TPL
90133761.100b	37635	283	7193	Windscreen
1002792.100b	37833	418	202126	TPL
80200259.10a	38229	159	7194	Windscreen
90182542.100a	38283	142	12769	Windscreen
90108462.101a	37634	561	7358	TPL
90148516.100c	37952	0	207960	TPL
90172426.100c	37935	270	206758	Windscreen
90191953.100a	37870	302	203737	Windscreen
90182143.100c	38235	1664	205818	Theft
90133985.100a	38245	0	208194	Damage
90138985.100a	38243	915	1201923	TPL
90152947.100a	38307	473	205004	Windscreen
90132147.101b	37672	389	8724	TPL
90159926.100b	38137	87	1202611	Windscreen
90157102.100a	37826	438	201994	Theft
90154329.100c	37994	213	1209463	Windscreen
90160985.100a	38000	207	1209433	Windscreen
90169980.102b	38208	262	9405	Windscreen
90163067.100b	37760	941	12525	Damage
90130971.100a	37736	449	11291	TPL
90165334.100a	38143	404	1203857	Windscreen
90149364.100a	38021	2144	1207888	Damage
90172253.100c	38243	1249	202290	Other
90128185.101a	38268	98	1201700	Windscreen
90185146.100c	37891	246	205051	Windscreen
90157269.100b	37915	2473	206124	TPL
90127162.101a	37970	419	208994	Windscreen
90156713.100a	37640	379	8584	Windscreen
90149097.100b	38093	1248	1204571	TPL
90111752.101c	38004	232	1209445	Windscreen
90149018.100a	38274	202	1203264	Other
90194768.100c	37747	64	13194	Windscreen
90188407.100c	37945	510	208346	TPL
90188380.100b	37759	312	12726	TPL
90105442.102a	37923	195	206352	TPL
90160899.101b	38052	63	1206154	TPL
90108926.101a	38023	572	1207966	Damage
90147731.101a	38143	428	1202643	Windscreen
90108922.101b	37945	2802	207690	TPL
90159701.100a	38204	392	1204789	Windscreen
90112568.101a	38335	465	203910	Windscreen
90167817.101a	37846	253	203310	Windscreen
90135395.101a	38302	60	8182	Damage
90126074.101b	37906	468	205438	Windscreen
90165250.100a	38287	1830	1206942	TPL
90181427.100a	38194	550	7736	Theft
266.101a	37852	336	203239	Windscreen
90159301.100b	37860	1039	203418	TPL
90170154.100c	38309	0	209349	Damage
90149200.100a	37997	915	1209596	TPL
90175758.100a	37852	259	203409	Windscreen
90145234.100b	38052	316	1206364	TPL
90161359.100a	38245	252	203297	Windscreen
90154336.100b	37712	4195	10432	Damage
90162876.100b	37712	1332	10648	TPL
90171829.101b	38059	410	1205904	TPL
90132979.100a	37804	523	201110	TPL
90148370.100a	38133	567	1203757	Theft
90145874.100a	37984	172	209647	Windscreen
90105442.10a	38137	687	1204025	TPL
1002353.100a	37664	853	8368	Windscreen
90134157.100a	37783	74	204106	Windscreen
90152581.101a	38302	2803	11579	TPL
1009682.100a	38342	2886	206516	TPL
90172292.100a	37791	293	200622	Windscreen
90170620.100a	38321	1012	1205185	Theft
90127801.100b	37681	15	9076	Damage
90147298.100a	38239	470	1205730	TPL
90190145.100a	38331	0	1209672	TPL
30200066.10a	37712	0	10446	TPL
70200358.100a	37668	263	8866	Windscreen
90194448.100b	37923	88	206642	Other
20100085.100a	38326	928	206475	Windscreen
90194788.100a	38181	134	1204488	TPL
4.10a	38136	4686	1202910	Damage
90183952.100a	37622	331	6783	Windscreen
90111686.101a	38187	2258	1205011	TPL
50200804.103a	37996	28578	1209301	TPL
1005170.100a	38214	0	12408	Fire
90194021.100a	37760	763	13030	Damage
90138536.101a	37763	421	13076	TPL
90146126.100a	38329	620	1209430	Windscreen
90130859.100a	38087	0	1205165	Windscreen
90173057.101a	38265	594	1204140	Fire
90184219.100c	38077	179	1205247	Other
90172501.100a	38283	897	203396	TPL
90179820.101a	38115	1141	1203652	Damage
90182774.101a	38135	109	1202934	Windscreen
90157490.100b	37996	1772	1209195	TPL
90133029.102a	38286	159	1209542	Windscreen
90168287.100a	37915	353	206569	Windscreen
90144409.100a	38160	915	1201577	TPL
90189079.100b	37830	244	202283	Other
90134956.100a	37642	398	8233	Windscreen
90103773.10a	37867	175	204542	Windscreen
90160870.100b	38267	15056	208335	Theft
90114336.100a	37680	257	13646	Windscreen
90167804.101c	37787	27228	200348	TPL
90133050.101a	37634	368	7616	Windscreen
90176564.101a	38295	6438	204087	TPL
90184773.100a	37643	1862	7715	Theft
90133049.101a	38085	1001	1204658	TPL
90167918.100a	38247	876	208793	Fire
90113745.101a	38024	693	1208198	TPL
1007002.101b	37984	124	209513	Windscreen
17.102b	38233	71	203269	Damage
90194789.100c	38057	2200	1205861	TPL
20100366.101b	37979	0	209811	TPL
90124682.101b	37848	232	203067	Theft
90133296.102a	37930	206	206761	TPL
90134958.101b	38093	620	1204430	TPL
90151252.100a	38038	362	1206826	Windscreen
90148236.100a	38033	330	1207180	Windscreen
90152386.100a	38000	831	1208927	Damage
90165973.100a	37661	98	8601	TPL
90155962.100a	38190	226	204357	Windscreen
90156687.101b	37745	0	12349	TPL
90172342.100a	37668	2325	8735	Damage
90159067.101a	37720	4203	10767	TPL
90106228.101a	37969	2325	208639	TPL
90176292.100b	37644	264	7549	Windscreen
90153782.100a	38054	0	1206200	Damage
80100260.101b	37946	2708	207657	TPL
90145738.100a	37755	144	13188	TPL
90187929.100b	37731	86	11299	TPL
90162760.100a	37724	525	10803	Other
1009488.100c	38301	116	205188	Windscreen
90191967.101a	37899	897	205120	TPL
90159189.100b	38197	366	1208253	Windscreen
90151545.100a	37706	76	11133	Windscreen
90134455.100a	38176	552	207891	Windscreen
90173834.101a	37964	2018	208422	TPL
90121349.101a	37691	269	9481	Windscreen
90185490.100b	37892	284	205554	Windscreen
90168039.100a	38263	71	204191	TPL
1006914.100a	37996	545	1209640	Windscreen
90134220.102a	38311	75	7949	Windscreen
90177835.100a	37779	22	200189	Theft
90128779.101a	37628	263	7640	Windscreen
90182114.100a	37745	107	12267	Windscreen
90141297.100b	38018	736	1208091	Damage
20100049.100a	37741	8134	11771	Theft
90185431.100a	38038	301	1206999	TPL
90172587.100a	37773	0	13090	TPL
90145141.100b	37752	1986	12402	TPL
70200936.10b	38175	0	8931	Windscreen
90158947.100a	37766	2720	12782	Fire
90172501.100a	38119	1001	1203519	TPL
90144660.100a	37920	113	205970	TPL
90172030.100a	38208	1489	203151	Theft
90172055.100a	38289	73	1203098	Windscreen
90182929.100c	38254	2818	9731	Fire
90157804.100b	38007	801	1208563	TPL
90179146.100a	38032	248	1207240	Windscreen
90110334.10a	37676	1671	8796	TPL
90166063.100a	38273	65	204470	Windscreen
90159507.100a	37634	43	8475	Damage
90145661.100a	38164	2562	1203491	TPL
90177932.100a	38140	248	1203703	Windscreen
90153176.100a	37641	511	8096	Windscreen
90184242.100a	38002	199	1209354	TPL
90131733.100b	38342	4	8431	Damage
90109098.101a	38289	119	11102	Windscreen
90170866.102b	38233	235	1207193	Windscreen
90113342.101b	38152	295	1202822	Windscreen
90166350.100a	37789	1967	200588	TPL
90132327.100a	37892	560	204877	TPL
90105120.102a	37706	494	10399	TPL
90107861.101a	37945	2018	207856	TPL
90164649.101a	37637	75	7689	Windscreen
90168902.101a	38116	367	1203911	Windscreen
90127790.101a	37663	449	8400	TPL
90105057.10a	37761	258	13471	Windscreen
90146744.101a	38216	168	206809	Damage
90157502.100a	37807	988	201679	TPL
80200761.101a	37716	53	11491	Windscreen
90154137.101a	38145	915	1202056	TPL
90175994.100b	37885	741	205115	Windscreen
90151676.100a	38218	220	204186	TPL
90121353.101a	37795	481	200867	Windscreen
90164547.100b	37718	897	10870	TPL
90156667.100c	37890	2007	204731	TPL
90141476.100a	38195	501	205508	Windscreen
90152505.100b	38266	509	13397	TPL
90159131.100c	37741	244	12181	Windscreen
90149773.100b	38194	216	12828	Windscreen
90132486.105a	37779	346	200080	Windscreen
1009103.100a	37945	1728	207414	TPL
90153681.100a	37706	16531	10029	TPL
90174079.100a	37899	53	205843	Windscreen
90145353.101a	38053	2629	1206515	TPL
90163350.100c	38288	471	201280	Windscreen
90107872.101b	38114	915	1203516	TPL
90151652.100a	38116	93	1203456	TPL
1005782.100a	38185	255	8336	Windscreen
90168279.100b	37859	264	203661	TPL
90100226.10a	37747	548	12095	TPL
1007557.100b	37710	34	10453	TPL
90146204.100a	38114	134	1203568	Windscreen
5.100a	38239	322	200520	Windscreen
90190485.100a	38318	2603	9369	TPL
90144517.100a	37954	287	208611	Windscreen
90186957.102a	37641	2452	7567	TPL
90103939.104a	38174	0	1205871	TPL
90180158.100c	38070	110	1205272	TPL
90190779.100a	38270	161	1204754	Windscreen
90146186.100a	38202	2975	10031	TPL
90151530.100a	38185	1794	209103	TPL
90149110.101c	38197	121	11531	Windscreen
90154207.100a	37840	97	202522	TPL
90182790.100a	38120	209	1203166	Windscreen
90183850.100a	37652	595	7969	TPL
90119149.100b	38231	458	7938	TPL
90155218.100b	38232	280	203383	Windscreen
1001951.100b	37948	4683	207662	Damage
90111865.101c	37629	263	7672	Windscreen
42691962.100a	38115	86	1203605	Windscreen
90160261.101a	37993	370	1209723	Windscreen
90111318.102a	37970	2018	208748	TPL
90127255.101c	37818	937	201538	TPL
90186754.100b	37928	158	208281	Windscreen
90193093.100a	37680	443	9153	Damage
1001942.100a	38095	264	1204905	Windscreen
90155228.103a	37816	255	202053	Windscreen
90131527.100a	38338	1068	12808	Damage
90165976.100a	38270	85	208804	Fire
90141597.100a	37817	160	202119	Windscreen
90155868.100a	37670	3822	8836	Theft
90155445.101a	37636	720	7488	TPL
90180913.100b	38148	1212	1202051	TPL
90144820.100a	37687	455	9491	Theft
90131638.100c	37920	570	206110	Theft
90179152.100a	37809	223	202631	Windscreen
90146580.100a	37702	385	9909	Windscreen
90126700.100b	38151	171	1201917	TPL
90155759.100a	38336	158	204754	Windscreen
90132666.100a	38227	149	8510	Windscreen
90151285.100a	38045	272	1207541	Windscreen
90158781.100a	38044	698	1206970	TPL
90104689.101a	37844	307	203917	Windscreen
90148776.102a	37952	4379	207939	Damage
90148626.100a	37678	0	8987	Theft
90160255.100b	38116	1643	1203421	Damage
90144675.100b	38192	1830	1208112	TPL
90108435.101d	37724	1237	10804	TPL
90120749.100a	37744	64	12338	TPL
90129390.101a	38126	0	1202996	Other
90131373.100a	38330	1794	208936	TPL
90148572.102a	37811	85	201830	Windscreen
90155410.100a	38231	215	200761	Windscreen
50100047.101a	37966	5183	208595	TPL
90182530.100a	37921	184	206731	Windscreen
90189843.100a	37631	91	7091	TPL
1007039.100a	37682	97	9160	TPL
90181589.101a	37960	64	208900	Windscreen
90145141.100c	37920	876	205979	Theft
90160023.100a	38145	0	1202289	Other
90127898.100a	37658	4155	8291	TPL
90151164.100b	37715	152	10435	TPL
90152214.101a	37927	491	207538	Windscreen
90176405.100a	38245	4704	1205218	Damage
90144767.100a	37877	291	204899	Windscreen
90175938.103b	37772	243	13480	Windscreen
17.102a	37789	367	201556	Windscreen
90149593.100a	38175	88	207854	Damage
90111568.100a	38091	605	1204825	Windscreen
90114364.101a	37724	0	13641	TPL
90177809.100a	38261	143	203013	Windscreen
90132854.100a	37653	1815	8135	Damage
90108926.101a	38052	1811	1206121	TPL
90159301.100c	38114	1060	1203418	TPL
80100253.103a	37893	492	205269	Windscreen
90160264.101b	38179	897	9195	TPL
90125993.100a	38283	1121	13277	TPL
90103431.10a	38281	132	209398	Windscreen
90133826.100d	37744	277	12057	Windscreen
90132127.100c	37678	908	8905	TPL
90126129.101a	38083	203	1205032	Windscreen
90128368.101b	38311	225	8087	TPL
90145741.100a	37844	513	203574	Windscreen
90112658.101a	38173	388	205998	Damage
90134573.100a	37787	84	201599	Windscreen
90116664.102c	38154	6068	1201688	Damage
90180465.100b	38276	374	203355	Windscreen
90152612.100b	38145	153	1203608	Windscreen
90139476.100a	38145	915	1202097	TPL
90148145.100b	38012	326	1208408	TPL
90172964.100a	37759	353	12775	Windscreen
90134412.100a	37669	897	8566	TPL
90189500.100b	37693	82	10085	Windscreen
90172082.100a	38167	0	1201857	Theft
90149616.100a	37794	1652	200729	TPL
90160707.100a	38204	4472	1201733	TPL
90157995.100e	37657	160	8248	TPL
90155228.101c	38019	5359	1208866	Theft
90105745.101a	38261	897	202275	TPL
90152885.100a	37916	329	206042	Windscreen
90170212.100a	38296	549	13265	Windscreen
90159049.100a	37788	4139	200800	Damage
90154234.100b	38049	323	1206422	Windscreen
90105278.101a	38018	2145	1207980	TPL
90160845.100b	38335	7217	1201845	TPL
90171957.100b	37783	487	201439	TPL
90149908.100a	38233	415	1204887	Windscreen
90135238.101b	38209	225	11941	TPL
90175992.100a	37749	207	13250	Windscreen
90180755.100a	37883	1380	204364	TPL
90154229.100b	37716	587	11754	TPL
90148206.100c	38203	915	1207618	TPL
90185980.100b	37749	467	13631	Windscreen
90128818.101b	38141	0	1202959	Damage
90148245.100a	38190	198	1209662	Windscreen
90134816.100a	38249	427	7989	TPL
90160346.101c	38306	897	13770	TPL
90122250.101b	38074	956	1205053	Damage
90152270.100c	37873	897	204184	TPL
90189500.100a	38195	6780	1205707	TPL
90181946.102a	37936	1010	206780	TPL
90139320.100a	38138	3222	1202363	Damage
90184219.100b	37897	7257	205246	TPL
90171875.100a	37836	0	202605	TPL
90157287.100a	38267	693	1202439	Damage
90105036.102a	37975	701	210086	Theft
90160425.100d	37640	421	8229	Windscreen
90113938.100a	37758	1121	12590	TPL
90128810.101a	38043	1429	1206614	TPL
80100186.101d	37935	289	207761	Windscreen
90159029.100a	37749	840	12341	Theft
90160446.100b	37732	83	11755	Windscreen
90103716.100b	37712	85	10422	Damage
90149569.100a	38262	712	1202936	TPL
90131708.100a	37704	1121	10439	TPL
90132116.100b	37819	268	202058	Windscreen
90154234.100b	37925	317	206422	Windscreen
90171236.100a	37994	1430	1209267	Damage
90139536.100a	37821	6229	201704	TPL
90125557.100a	38145	244	1202252	Windscreen
90148804.100a	37760	177	13401	Windscreen
90151685.100a	37810	1148	201570	Theft
90181878.100a	37888	1485	204671	TPL
90170484.100b	37872	132	206531	Windscreen
90177857.101a	37640	566	8010	Theft
70200828.100b	38226	332	200799	Windscreen
1001560.100a	37755	198	13240	Windscreen
90194829.100a	37875	3638	204274	TPL
90166425.100b	37676	86	9855	Damage
41.10Aa	37696	1076	9928	Damage
90145765.100a	38197	915	1210221	TPL
90147883.100a	38121	771	1203193	TPL
90126381.101b	37761	479	13115	TPL
90133899.100b	37961	869	208389	TPL
90108665.100a	38188	2298	207332	TPL
90107991.101a	38107	404	1203711	Windscreen
90132116.100a	38155	273	1202058	Windscreen
90133040.100c	37983	438	209715	Windscreen
1005801.101a	37888	897	204746	TPL
90172082.100a	37800	4175	200918	Theft
90113770.102a	37865	337	204048	Windscreen
90146501.100a	38212	1511	1201827	Fire
90168249.100a	38163	600	1202300	Windscreen
90150358.100a	38184	653	206816	Damage
90168961.100a	37774	1165	201762	TPL
90132415.100a	38313	298	1205772	TPL
90171876.100a	38239	570	208154	TPL
90182572.101a	38019	972	1208400	TPL
1000937.100c	38100	6810	1204061	TPL
90125954.101b	37914	86	206521	Windscreen
90132099.102a	37815	548	201540	TPL
90152052.100a	37980	897	209455	TPL
90160028.100a	37684	272	9354	TPL
90153017.100a	37631	2298	7278	Damage
40201471.101a	38095	190	1204893	Windscreen
90191858.100a	38251	83	203359	Windscreen
90106099.101c	37671	1036	8912	TPL
60100036.10a	37630	126	7649	Windscreen
90189430.100a	38311	137	13359	Windscreen
90126766.101a	37629	250	8373	Damage
90178327.100b	37662	488	10282	TPL
90101337.101a	37642	1225	7597	TPL
450.10a	38307	755	1207988	Windscreen
90156518.100a	38095	1317	1204317	TPL
90134908.100a	37651	237	7766	Windscreen
80201113.10a	38095	21292	1204233	Damage
90126974.100a	38103	279	1203953	Windscreen
90116069.100a	37779	897	200355	TPL
90112238.101b	37860	497	203578	Windscreen
90155412.100a	37992	90	1209678	Damage
90139303.101d	38064	2414	1205912	TPL
90135274.100b	37979	484	209293	Damage
90108307.101b	38219	105	1202703	TPL
90172009.100a	38214	175	205071	Theft
90147645.100a	37639	3943	8279	Damage
90144730.101a	38051	284	1206553	TPL
1003241.100c	37851	11207	203173	Damage
70201418.100a	38299	184	8791	Windscreen
90160069.100b	37809	0	202437	TPL
90156386.100a	37684	525	9585	Other
90168712.101a	38324	175	205966	Other
90182373.100a	37724	897	11062	TPL
90108533.100a	37804	243	201695	Windscreen
90149676.100a	38335	1530	200097	Damage
90106393.102b	38050	128	1206403	Windscreen
90146109.100a	37791	253	200664	TPL
60100124.100a	37856	193	203431	Windscreen
90164863.100a	37903	897	205377	TPL
90126472.101a	38266	897	13749	TPL
90194131.100a	37647	602	7997	Theft
50200078.100a	38329	75	8184	TPL
90151613.100b	38006	274	1208459	Windscreen
90122248.101a	37835	897	202454	TPL
90191096.100b	37661	673	8771	TPL
80201138.101a	37698	300	10196	Windscreen
90111389.101a	37964	2298	208961	TPL
90182790.100a	37895	44	205019	TPL
90172822.100a	37785	0	200429	TPL
90116450.101a	37994	225	1209230	TPL
90189077.100a	38184	180	209176	Windscreen
50200323.101a	38023	1072	1207819	TPL
90171826.100b	37632	106	7206	TPL
90111332.10a	37948	788	207696	Theft
70100061.102a	37852	5828	203005	TPL
90146510.100a	37696	237	9812	TPL
90194775.100a	38047	485	1206580	Damage
1002003.100a	38259	6874	1204158	TPL
90158244.101a	38185	68	8736	Windscreen
1002745.100a	37938	2998	206976	TPL
90145364.101a	38330	3726	11844	TPL
90167228.103a	38318	386	1203317	TPL
1003820.100a	37664	897	8407	TPL
90155998.100a	37897	2659	205358	Theft
90126658.101b	37776	1005	200198	TPL
90193799.100a	37867	336	203872	TPL
90171154.100a	37775	94	200307	Windscreen
90147263.100b	37703	324	10091	Windscreen
90112130.10a	37703	897	12751	TPL
90157339.100a	38272	397	8950	Windscreen
90134375.100a	37622	461	6879	TPL
90113046.100a	38095	1337	1204427	TPL
90183845.100a	37979	1121	209451	TPL
90176345.100a	38185	486	201051	Damage
90167218.100b	37774	565	205219	Windscreen
90167820.100a	38255	834	208591	Windscreen
90149578.100a	38086	495	1204712	TPL
90119181.101b	37917	73	206115	Windscreen
90192919.100a	38244	4203	209207	TPL
90111449.101b	38051	915	1206428	TPL
90116563.100e	38016	915	1208887	TPL
90150359.100a	37877	31	204690	TPL
20100009.100a	37819	378	201757	TPL
90107949.101b	37781	692	200295	Damage
90181146.100a	38159	62	1201723	Windscreen
90106244.100a	38338	109	12670	TPL
80100208.101a	37887	76	205611	Windscreen
90132301.100a	37744	672	11871	TPL
90160069.100a	38165	0	1202437	TPL
90187824.100a	37780	887	200213	TPL
90187752.100b	38171	286	202120	Windscreen
20200602.101a	38031	60	1207959	TPL
90108922.101b	38028	2858	1207690	TPL
90161372.100a	38275	1417	209561	Damage
90103606.10a	37858	89	203930	Windscreen
90152613.100b	38076	478	1205507	Windscreen
90147045.100a	38027	519	1208187	TPL
90145702.100a	38298	961	202462	Theft
90193771.100c	38320	790	203305	Theft
90152454.100a	38345	48	10985	TPL
90126360.101b	37777	3041	200030	TPL
90181462.101a	38094	915	1204340	TPL
90137599.100a	37753	2501	12274	TPL
90139827.100a	37684	266	9433	Damage
90166043.101a	37740	504	11823	Windscreen
90146988.100a	38282	476	9116	Windscreen
90194850.100a	38041	5201	1206841	TPL
90119246.101a	37871	2172	204014	TPL
90181610.100a	37783	2152	200287	TPL
90146069.100a	37692	1866	9615	TPL
90104493.101a	37724	1093	10949	TPL
90194816.100a	38254	426	207351	TPL
60200283.10b	38268	170	200378	TPL
90165416.100b	38182	836	1204918	TPL
90106265.10a	38288	463	1203108	TPL
90174542.100b	38290	147	1201579	TPL
90189065.101a	38271	897	13619	TPL
90182369.100a	37788	534	200473	TPL
90131674.100a	37918	1050	206105	Damage
90110355.10b	37637	58	7328	TPL
90160773.100a	37898	69	205227	Damage
90153838.100b	37922	229	207072	Windscreen
90103543.10c	37848	182108	204766	TPL
90189500.100b	37900	125	205330	Windscreen
80100210.10b	37631	0	13795	TPL
90166104.100a	38109	515	1203562	TPL
90131674.100c	37669	108	8731	Damage
90148523.101a	37655	863	8265	Windscreen
90135262.100b	37907	739	205847	Damage
90181872.102a	37641	203	13747	Theft
90167348.100a	37928	0	206747	TPL
90113939.101a	38204	1189	10703	Damage
90160059.103a	38127	57	1203388	Windscreen
90174015.100a	37732	339	11394	Windscreen
90109440.101a	38073	2845	1205187	TPL
90126980.101b	38201	7750	8622	Damage
90126479.101a	38224	915	1203393	TPL
70200828.100a	37951	1840	207931	Damage
90173902.100b	38138	254	1202211	TPL
90146881.100a	38279	82	1209318	Windscreen
90115231.103a	38069	1556	1205402	TPL
90177942.102b	38267	447	1206000	Other
90154213.100a	37707	2004	10886	TPL
90141066.100a	38033	252	1207801	Windscreen
90133244.100c	38028	231	1207484	Windscreen
90151537.100a	37742	181	12652	Windscreen
90155366.100a	37941	344	207365	Windscreen
90135077.100b	37758	381	12325	TPL
90147403.100a	37703	235	9887	Windscreen
90165788.100a	38082	424	1204861	TPL
90132224.100a	38328	1313	209969	Other
90146580.100a	38048	292	1207133	Windscreen
90151609.100a	38202	61	1207346	TPL
40201471.101a	38268	2146	200680	Damage
90146101.100b	37815	5009	201626	TPL
90178327.100c	37709	760	10617	TPL
90161448.100a	37864	124	205023	Windscreen
90159830.100a	37804	133	205113	Windscreen
90154781.100b	37665	702	8405	TPL
90193259.100b	37846	649	203087	TPL
90190097.100b	38152	915	1207532	TPL
90180649.100a	38065	64	1206338	Windscreen
90160598.100a	38087	3506	1204676	Theft
80200295.10b	38076	3222	1205154	TPL
10100330.101a	38242	1830	1208029	TPL
90181885.100a	38269	306	203871	TPL
90137581.100b	38184	473	9687	TPL
90126290.101a	37647	117	8331	Windscreen
90179262.100a	38226	237	9101	Windscreen
90131426.100b	37633	238	8860	Windscreen
90155056.100a	37942	506	208729	TPL
22730086.100a	38116	249	1203918	Windscreen
80200136.102d	37860	1486	203449	TPL
90139526.100a	37746	424	12434	Theft
90148227.101a	37631	156	7218	Windscreen
90178114.100b	38145	1143	1202245	TPL
90139293.100a	38306	899	201500	Theft
90144772.100a	38086	530	1205178	TPL
90131428.100c	37748	253	13339	Windscreen
90132456.100b	37797	74	200825	TPL
90105511.100a	37891	50	204727	Windscreen
90113345.101a	37636	897	7479	TPL
90104527.101b	37652	80	8072	TPL
90147973.100a	37757	1340	12619	TPL
90115870.101a	37963	195	208635	TPL
90105413.102a	37773	253	13535	Windscreen
90144496.100b	38184	81	206824	Fire
90132586.102a	38271	1778	206414	Damage
90111511.101a	37867	511	203876	Theft
90168988.100a	37759	414	13148	TPL
90120252.101a	37696	166	9826	Windscreen
10200425.101a	37789	897	200783	TPL
90156620.100a	37933	264	207139	Windscreen
90134889.100b	38059	919	1206040	TPL
90148357.100a	37915	264	205910	TPL
90164503.100b	37950	897	208151	TPL
90169056.100a	37834	0	202461	Other
90164610.100a	37804	96	201256	Windscreen
90181424.100a	37917	897	206483	TPL
1010730.100a	37707	329	10257	TPL
90145422.100a	38039	915	1207667	TPL
90168697.100a	38303	1246	200613	Damage
251.10a	38274	683	1204692	Damage
90105522.101a	37831	0	202090	TPL
90133736.102b	38051	276	1206306	Windscreen
90157402.100a	38261	293	11104	Windscreen
90154269.101a	37991	230	1209649	TPL
90127787.101b	37891	266	209311	Windscreen
90134916.100a	37724	2843	11114	TPL
90106316.101a	38177	897	204200	TPL
90145927.103a	38345	1122	206398	Damage
40100087.100a	37711	150	10616	TPL
90132038.101b	38300	263	9411	Windscreen
90109510.100c	38026	1201	1207503	TPL
90166022.100c	37984	1489	209970	Theft
90148387.101b	38339	361	13405	TPL
90157049.101a	38096	162	1204888	Windscreen
90151507.100a	38165	889	1201905	TPL
90104700.100a	38177	347	1205003	Windscreen
90145491.100a	37965	897	208829	TPL
90179202.101a	37791	292	200755	Windscreen
90105156.101a	37935	522	206927	Theft
90138478.100a	37820	90	201987	Other
90145107.101a	38286	27	1204089	Damage
90100757.10a	37946	2723	207392	TPL
